Id	Description	Prefab	Delay	PlayTime	MountPoint	RelativePos	RotateWithTarget	RelativeRotation	DelWithImpact
15010121	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 215 -25	
15010122	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 215 -25	
15010201	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 -35 -25	
15010202	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 -35 -25	
15010211	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 -35 0	
15010212	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 -35 0	
15010221	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15010222	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15010231	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15010232	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15010301	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15010302	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15010311	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15010312	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15020101	斩狂风轮斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15020111	斩狂风轮斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15020201	斩狂风轮斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15020211	斩狂风轮斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15020301	斩狂风轮斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15020311	斩狂风轮斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030101	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030201	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030202	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030301	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030302	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030401	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030402	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030501	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030502	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030601	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030602	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030701	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15030702	斩狂疯狂连斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15040101	斩狂巨力挑空受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	3000		0 1 0.2	FALSE	0 0 0	
15040201	斩狂巨力挑空受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_fengkuanglianzhan_02_01	0	3000		0 1 0.2	FALSE	0 0 0	
16000001	斩狂霸体	Hero_FX/5_zhankuang/5_hero_zhankuang_fengkuanglianzhan_02_01	0	500	Bone010	0 1 0	FALSE	0 0 0	
16000002	斩狂霸体	Hero_FX/5_zhankuang/5_hero_zhankuang_fengkuanglianzhan_02_01	0	2000	Bone010	0 1 0	FALSE	0 0 0	
16000003	斩狂霸体	Hero_FX/5_zhankuang/5_hero_zhankuang_fengkuanglianzhan_02_01	0	3000	Bone010	0 1 0	FALSE	0 0 0	
16000004	斩狂霸体	Hero_FX/5_zhankuang/5_hero_zhankuang_fengkuanglianzhan_02_01	0	5500	Bone010	0 1 0	FALSE	0 0 0	
16000005	斩狂疯狂连斩BUF特效(刀）	Hero_FX/5_zhankuang/5_hero_zhankuang_fengkuanglianzhan_02_02	0	5500	ef_rightweapon01	0 0 0.6	FALSE	0 0 0	
16000006	斩狂技能受击1	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_02	0	1000		0 1 0.2	FALSE	0 0 0	
16000007	斩狂技能受击2	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_03	0	1000		0 1 0.2	FALSE	0 0 0	
16010101	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 215 25	
16010102	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 215 25	
16010111	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 -35 25	
16010112	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 -35 25	
16010121	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 215 -25	
16010122	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 215 -25	
16010201	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 -35 -25	
16010202	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 -35 -25	
16010211	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 -35 0	
16010212	斩狂旋风斩受击特效	Hero_FX/5_zhankuang/5_hero_zhankuang_shouji_01	0	1500		0 1 0.2	FALSE	0 -35 0	
