ID	WindowName	WindowPath	OffsetLeft	OffsetRight	OffsetTop	OffsetBottom	IsExclusion	ShowType	SceneType
1501	GuideHand	UI/BeginnerGuide/GuideHand	-1	-1	-1	-1	FALSE	-1	-1
1502	ReturnToMaincity	UI/BeginnerGuide/ReturnToMaincity	-1	-1	-1	-1	FALSE	-1	-1
									
#通用UI									
2001	YesOrNot	UI/YesOrNot/YesOrNot	-1	-1	-1	-1	FALSE	-1	2
2002	Loading2	Loading/Loading2	-1	-1	-1	-1	FALSE	-1	2
2003	ScreenTip	UI/ScreenTip	-1	-1	-1	-1	FALSE	-1	2
2004	PveFightInfo	UI/PveFightInfo	-1	-1	-1	-1	FALSE	-1	2
2005	Pointing	UI/Common/Pointing	-1	-1	-1	-1	FALSE	-1	2
2006	GuideDlg	UI/BeginnerGuide/GuideDlg	-1	-1	-1	-1	FALSE	-1	2
2007	GuideDlgRight	UI/BeginnerGuide/GuideDlgRight	-1	-1	-1	-1	FALSE	-1	2
2008	GoldBuyDlg	UI/GoldBuy/GoldBuyDlg	-1	-1	-1	-1	FALSE	-1	2
