ID	Critical	C
97	0.097	0.014
98	0.098	0.0143
99	0.099	0.0146
100	0.1	0.0148
101	0.101	0.0151
102	0.102	0.0154
103	0.103	0.0157
104	0.104	0.016
105	0.105	0.0163
106	0.106	0.0166
107	0.107	0.0169
108	0.108	0.0172
109	0.109	0.0175
110	0.11	0.0178
111	0.111	0.0182
112	0.112	0.0185
113	0.113	0.0188
114	0.114	0.0191
115	0.115	0.0194
116	0.116	0.0198
117	0.117	0.0201
118	0.118	0.0204
119	0.119	0.0208
120	0.12	0.0211
121	0.121	0.0214
122	0.122	0.0218
123	0.123	0.0221
124	0.124	0.0225
125	0.125	0.0228
126	0.126	0.0232
127	0.127	0.0235
128	0.128	0.0239
129	0.129	0.0243
130	0.13	0.0246
131	0.131	0.025
132	0.132	0.0253
133	0.133	0.0257
134	0.134	0.0261
135	0.135	0.0265
136	0.136	0.0268
137	0.137	0.0272
138	0.138	0.0276
139	0.139	0.028
140	0.14	0.0284
141	0.141	0.0288
142	0.142	0.0292
143	0.143	0.0295
144	0.144	0.0299
145	0.145	0.0303
146	0.146	0.0307
147	0.147	0.0312
148	0.148	0.0316
149	0.149	0.032
150	0.15	0.0324
151	0.151	0.0328
152	0.152	0.0332
153	0.153	0.0336
154	0.154	0.034
155	0.155	0.0345
156	0.156	0.0349
157	0.157	0.0353
158	0.158	0.0358
159	0.159	0.0362
160	0.16	0.0366
161	0.161	0.0371
162	0.162	0.0375
163	0.163	0.0379
164	0.164	0.0384
165	0.165	0.0388
166	0.166	0.0393
167	0.167	0.0397
168	0.168	0.0402
169	0.169	0.0406
170	0.17	0.0411
171	0.171	0.0416
172	0.172	0.042
173	0.173	0.0425
174	0.174	0.043
175	0.175	0.0434
176	0.176	0.0439
177	0.177	0.0444
178	0.178	0.0449
179	0.179	0.0453
180	0.18	0.0458
181	0.181	0.0463
182	0.182	0.0468
183	0.183	0.0473
184	0.184	0.0478
185	0.185	0.0483
186	0.186	0.0487
187	0.187	0.0492
188	0.188	0.0497
189	0.189	0.0502
190	0.19	0.0508
191	0.191	0.0513
192	0.192	0.0518
193	0.193	0.0523
194	0.194	0.0528
195	0.195	0.0533
196	0.196	0.0538
197	0.197	0.0543
198	0.198	0.0549
199	0.199	0.0554
200	0.2	0.0559
201	0.201	0.0564
202	0.202	0.057
203	0.203	0.0575
204	0.204	0.058
205	0.205	0.0586
206	0.206	0.0591
207	0.207	0.0597
208	0.208	0.0602
209	0.209	0.0608
210	0.21	0.0613
211	0.211	0.0619
212	0.212	0.0624
213	0.213	0.063
214	0.214	0.0635
215	0.215	0.0641
216	0.216	0.0646
217	0.217	0.0652
218	0.218	0.0658
219	0.219	0.0663
220	0.22	0.0669
221	0.221	0.0675
222	0.222	0.0681
223	0.223	0.0686
224	0.224	0.0692
225	0.225	0.0698
226	0.226	0.0704
227	0.227	0.071
228	0.228	0.0716
229	0.229	0.0721
230	0.23	0.0727
231	0.231	0.0733
232	0.232	0.0739
233	0.233	0.0745
234	0.234	0.0751
235	0.235	0.0757
236	0.236	0.0763
237	0.237	0.0769
238	0.238	0.0775
239	0.239	0.0782
240	0.24	0.0788
241	0.241	0.0794
242	0.242	0.08
243	0.243	0.0806
244	0.244	0.0812
245	0.245	0.0819
246	0.246	0.0825
247	0.247	0.0831
248	0.248	0.0837
249	0.249	0.0844
250	0.25	0.085
251	0.251	0.0856
252	0.252	0.0863
253	0.253	0.0869
254	0.254	0.0876
255	0.255	0.0882
256	0.256	0.0889
257	0.257	0.0895
258	0.258	0.0902
259	0.259	0.0908
260	0.26	0.0915
261	0.261	0.0921
262	0.262	0.0928
263	0.263	0.0934
264	0.264	0.0941
265	0.265	0.0948
266	0.266	0.0954
267	0.267	0.0961
268	0.268	0.0968
269	0.269	0.0974
270	0.27	0.0981
271	0.271	0.0988
272	0.272	0.0995
273	0.273	0.1001
274	0.274	0.1008
275	0.275	0.1015
276	0.276	0.1022
277	0.277	0.1029
278	0.278	0.1036
279	0.279	0.1043
280	0.28	0.105
281	0.281	0.1057
282	0.282	0.1064
283	0.283	0.1071
284	0.284	0.1078
285	0.285	0.1085
286	0.286	0.1092
287	0.287	0.1099
288	0.288	0.1106
289	0.289	0.1113
290	0.29	0.112
291	0.291	0.1127
292	0.292	0.1135
293	0.293	0.1142
294	0.294	0.1149
295	0.295	0.1156
296	0.296	0.1163
297	0.297	0.1171
298	0.298	0.1178
299	0.299	0.1185
300	0.3	0.1193
301	0.301	0.12
302	0.302	0.1207
303	0.303	0.1215
304	0.304	0.1222
305	0.305	0.123
306	0.306	0.1237
307	0.307	0.1245
308	0.308	0.1252
309	0.309	0.126
310	0.31	0.1267
311	0.311	0.1275
312	0.312	0.1282
313	0.313	0.129
314	0.314	0.1297
315	0.315	0.1305
316	0.316	0.1313
317	0.317	0.132
318	0.318	0.1328
319	0.319	0.1336
320	0.32	0.1343
321	0.321	0.1351
322	0.322	0.1359
323	0.323	0.1367
324	0.324	0.1374
325	0.325	0.1382
326	0.326	0.139
327	0.327	0.1398
328	0.328	0.1406
329	0.329	0.1414
330	0.33	0.1421
331	0.331	0.1429
332	0.332	0.1437
333	0.333	0.1445
334	0.334	0.1453
335	0.335	0.1461
336	0.336	0.1469
337	0.337	0.1477
338	0.338	0.1485
339	0.339	0.1494
340	0.34	0.1502
341	0.341	0.151
342	0.342	0.1518
343	0.343	0.1526
344	0.344	0.1534
345	0.345	0.1542
346	0.346	0.1551
347	0.347	0.1559
348	0.348	0.1567
349	0.349	0.1575
350	0.35	0.1583
351	0.351	0.1592
352	0.352	0.16
353	0.353	0.1608
354	0.354	0.1617
355	0.355	0.1625
356	0.356	0.1633
357	0.357	0.1642
358	0.358	0.165
359	0.359	0.1659
360	0.36	0.1667
361	0.361	0.1676
362	0.362	0.1684
363	0.363	0.1693
364	0.364	0.1701
365	0.365	0.171
366	0.366	0.1718
367	0.367	0.1727
368	0.368	0.1736
369	0.369	0.1744
370	0.37	0.1753
371	0.371	0.1762
372	0.372	0.177
373	0.373	0.1779
374	0.374	0.1788
375	0.375	0.1796
376	0.376	0.1805
377	0.377	0.1814
378	0.378	0.1823
379	0.379	0.1831
380	0.38	0.184
381	0.381	0.1849
382	0.382	0.1858
383	0.383	0.1867
384	0.384	0.1875
385	0.385	0.1884
386	0.386	0.1893
387	0.387	0.1902
388	0.388	0.1911
389	0.389	0.192
390	0.39	0.1929
391	0.391	0.1938
392	0.392	0.1947
393	0.393	0.1956
394	0.394	0.1965
395	0.395	0.1974
396	0.396	0.1983
397	0.397	0.1992
398	0.398	0.2001
399	0.399	0.201
400	0.4	0.202
401	0.401	0.2029
402	0.402	0.2038
403	0.403	0.2048
404	0.404	0.2057
405	0.405	0.2066
406	0.406	0.2076
407	0.407	0.2085
408	0.408	0.2095
409	0.409	0.2104
410	0.41	0.2113
411	0.411	0.2123
412	0.412	0.2132
413	0.413	0.2142
414	0.414	0.2151
415	0.415	0.2161
416	0.416	0.217
417	0.417	0.2179
418	0.418	0.2189
419	0.419	0.2198
420	0.42	0.2208
421	0.421	0.2217
422	0.422	0.2227
423	0.423	0.2236
424	0.424	0.2246
425	0.425	0.2255
426	0.426	0.2265
427	0.427	0.2275
428	0.428	0.2284
429	0.429	0.2294
430	0.43	0.2303
431	0.431	0.2313
432	0.432	0.2322
433	0.433	0.2332
434	0.434	0.2342
435	0.435	0.2351
436	0.436	0.2361
437	0.437	0.2371
438	0.438	0.238
439	0.439	0.239
440	0.44	0.24
441	0.441	0.2409
442	0.442	0.2419
443	0.443	0.2429
444	0.444	0.2439
445	0.445	0.2448
446	0.446	0.2458
447	0.447	0.2468
448	0.448	0.2478
449	0.449	0.2488
450	0.45	0.2497
451	0.451	0.2508
452	0.452	0.2519
453	0.453	0.2529
454	0.454	0.254
455	0.455	0.255
456	0.456	0.2561
457	0.457	0.2572
458	0.458	0.2582
459	0.459	0.2593
460	0.46	0.2604
461	0.461	0.2614
462	0.462	0.2625
463	0.463	0.2635
464	0.464	0.2646
465	0.465	0.2656
466	0.466	0.2667
467	0.467	0.2678
468	0.468	0.2688
469	0.469	0.2699
470	0.47	0.2709
471	0.471	0.272
472	0.472	0.273
473	0.473	0.2741
474	0.474	0.2752
475	0.475	0.2762
476	0.476	0.2773
477	0.477	0.2783
478	0.478	0.2794
479	0.479	0.2804
480	0.48	0.2815
481	0.481	0.2825
482	0.482	0.2836
483	0.483	0.2846
484	0.484	0.2857
485	0.485	0.2868
486	0.486	0.2878
487	0.487	0.2889
488	0.488	0.2899
489	0.489	0.291
490	0.49	0.292
491	0.491	0.2931
492	0.492	0.2941
493	0.493	0.2952
494	0.494	0.2962
495	0.495	0.2973
496	0.496	0.2984
497	0.497	0.2994
498	0.498	0.3005
499	0.499	0.3015
500	0.5	0.3026
501	0.501	0.3036
502	0.502	0.3047
503	0.503	0.3057
504	0.504	0.3068
505	0.505	0.3079
506	0.506	0.3089
507	0.507	0.31
508	0.508	0.311
509	0.509	0.3121
510	0.51	0.3132
511	0.511	0.3142
512	0.512	0.3153
513	0.513	0.3163
514	0.514	0.3174
515	0.515	0.3185
516	0.516	0.3195
517	0.517	0.3206
518	0.518	0.3216
519	0.519	0.3227
520	0.52	0.3238
521	0.521	0.3248
522	0.522	0.3259
523	0.523	0.327
524	0.524	0.328
525	0.525	0.3291
526	0.526	0.3302
527	0.527	0.3312
528	0.528	0.3323
529	0.529	0.3334
530	0.53	0.3347
531	0.531	0.3361
532	0.532	0.3374
533	0.533	0.3387
534	0.534	0.3401
535	0.535	0.3414
536	0.536	0.3427
537	0.537	0.344
538	0.538	0.3453
539	0.539	0.3467
540	0.54	0.348
541	0.541	0.3493
542	0.542	0.3506
543	0.543	0.3519
544	0.544	0.3532
545	0.545	0.3545
546	0.546	0.3558
547	0.547	0.3571
548	0.548	0.3584
549	0.549	0.3597
550	0.55	0.361
551	0.551	0.3623
552	0.552	0.3636
553	0.553	0.3649
554	0.554	0.3661
555	0.555	0.3674
556	0.556	0.3687
557	0.557	0.37
558	0.558	0.3713
559	0.559	0.3725
560	0.56	0.3738
561	0.561	0.3751
562	0.562	0.3763
563	0.563	0.3776
564	0.564	0.3789
565	0.565	0.3801
566	0.566	0.3814
567	0.567	0.3827
568	0.568	0.3839
569	0.569	0.3852
570	0.57	0.3864
571	0.571	0.3877
572	0.572	0.3889
573	0.573	0.3902
574	0.574	0.3914
575	0.575	0.3927
576	0.576	0.3939
577	0.577	0.3951
578	0.578	0.3964
579	0.579	0.3976
580	0.58	0.3988
581	0.581	0.4001
582	0.582	0.4013
583	0.583	0.4025
584	0.584	0.4038
585	0.585	0.405
586	0.586	0.4062
587	0.587	0.4074
588	0.588	0.4087
589	0.589	0.4099
590	0.59	0.4111
591	0.591	0.4123
592	0.592	0.4135
593	0.593	0.4147
594	0.594	0.416
595	0.595	0.4172
596	0.596	0.4184
597	0.597	0.4196
598	0.598	0.4208
599	0.599	0.422
600	0.6	0.4232
601	0.601	0.4244
602	0.602	0.4256
603	0.603	0.4268
604	0.604	0.428
605	0.605	0.4292
606	0.606	0.4304
607	0.607	0.4316
608	0.608	0.4328
609	0.609	0.434
610	0.61	0.4351
611	0.611	0.4363
612	0.612	0.4375
613	0.613	0.4387
614	0.614	0.4399
615	0.615	0.4411
616	0.616	0.4422
617	0.617	0.4434
618	0.618	0.4446
619	0.619	0.4458
620	0.62	0.447
621	0.621	0.4481
622	0.622	0.4493
623	0.623	0.4505
624	0.624	0.4516
625	0.625	0.4528
626	0.626	0.454
627	0.627	0.4551
628	0.628	0.4563
629	0.629	0.4575
630	0.63	0.4586
631	0.631	0.4598
632	0.632	0.461
633	0.633	0.4621
634	0.634	0.4633
635	0.635	0.4644
636	0.636	0.4656
637	0.637	0.4667
638	0.638	0.4679
639	0.639	0.469
640	0.64	0.4702
641	0.641	0.4713
642	0.642	0.4725
643	0.643	0.4736
644	0.644	0.4748
645	0.645	0.4759
646	0.646	0.4771
647	0.647	0.4782
648	0.648	0.4794
649	0.649	0.4805
650	0.65	0.4816
651	0.651	0.4828
652	0.652	0.4839
653	0.653	0.4851
654	0.654	0.4862
655	0.655	0.4873
656	0.656	0.4885
657	0.657	0.4896
658	0.658	0.4907
659	0.659	0.4919
660	0.66	0.493
661	0.661	0.4941
662	0.662	0.4953
663	0.663	0.4964
664	0.664	0.4975
665	0.665	0.4986
666	0.666	0.4998
667	0.667	0.5018
668	0.668	0.5041
669	0.669	0.5063
670	0.67	0.5085
671	0.671	0.5107
672	0.672	0.513
673	0.673	0.5152
674	0.674	0.5174
675	0.675	0.5196
676	0.676	0.5218
677	0.677	0.5239
678	0.678	0.5261
679	0.679	0.5283
680	0.68	0.5304
681	0.681	0.5326
682	0.682	0.5347
683	0.683	0.5369
684	0.684	0.539
685	0.685	0.5412
686	0.686	0.5433
687	0.687	0.5454
688	0.688	0.5475
689	0.689	0.5496
690	0.69	0.5517
691	0.691	0.5538
692	0.692	0.5559
693	0.693	0.558
694	0.694	0.5601
695	0.695	0.5621
696	0.696	0.5642
697	0.697	0.5663
698	0.698	0.5683
699	0.699	0.5704
700	0.7	0.5724
701	0.701	0.5744
702	0.702	0.5765
703	0.703	0.5785
704	0.704	0.5805
705	0.705	0.5825
706	0.706	0.5845
707	0.707	0.5865
708	0.708	0.5885
709	0.709	0.5905
710	0.71	0.5925
711	0.711	0.5945
712	0.712	0.5964
713	0.713	0.5984
714	0.714	0.6004
715	0.715	0.6023
716	0.716	0.6043
717	0.717	0.6062
718	0.718	0.6082
719	0.719	0.6101
720	0.72	0.612
721	0.721	0.6139
722	0.722	0.6159
723	0.723	0.6178
724	0.724	0.6197
725	0.725	0.6216
726	0.726	0.6235
727	0.727	0.6254
728	0.728	0.6273
729	0.729	0.6291
730	0.73	0.631
731	0.731	0.6329
732	0.732	0.6348
733	0.733	0.6366
734	0.734	0.6385
735	0.735	0.6403
736	0.736	0.6422
737	0.737	0.644
738	0.738	0.6459
739	0.739	0.6477
740	0.74	0.6495
741	0.741	0.6513
742	0.742	0.6531
743	0.743	0.655
744	0.744	0.6568
745	0.745	0.6586
746	0.746	0.6604
747	0.747	0.6622
748	0.748	0.6639
749	0.749	0.6657
750	0.75	0.6675
751	0.751	0.6693
752	0.752	0.671
753	0.753	0.6728
754	0.754	0.6746
755	0.755	0.6763
756	0.756	0.6781
757	0.757	0.6798
758	0.758	0.6816
759	0.759	0.6833
760	0.76	0.685
761	0.761	0.6868
762	0.762	0.6885
763	0.763	0.6902
764	0.764	0.6919
765	0.765	0.6936
766	0.766	0.6953
767	0.767	0.697
768	0.768	0.6987
769	0.769	0.7004
770	0.77	0.7021
771	0.771	0.7038
772	0.772	0.7055
773	0.773	0.7071
774	0.774	0.7088
775	0.775	0.7105
776	0.776	0.7121
777	0.777	0.7138
778	0.778	0.7154
779	0.779	0.7171
780	0.78	0.7187
781	0.781	0.7204
782	0.782	0.722
783	0.783	0.7236
784	0.784	0.7253
785	0.785	0.7269
786	0.786	0.7285
787	0.787	0.7301
788	0.788	0.7317
789	0.789	0.7333
790	0.79	0.7349
791	0.791	0.7365
792	0.792	0.7381
793	0.793	0.7397
794	0.794	0.7413
795	0.795	0.7429
796	0.796	0.7445
797	0.797	0.746
798	0.798	0.7476
799	0.799	0.7492
800	0.8	0.7507
801	0.801	0.7523
802	0.802	0.7538
803	0.803	0.7554
804	0.804	0.7569
805	0.805	0.7585
806	0.806	0.76
807	0.807	0.7616
808	0.808	0.7631
809	0.809	0.7646
810	0.81	0.7661
811	0.811	0.7677
812	0.812	0.7692
813	0.813	0.7707
814	0.814	0.7722
815	0.815	0.7737
816	0.816	0.7752
817	0.817	0.7767
818	0.818	0.7782
819	0.819	0.7797
820	0.82	0.7812
821	0.821	0.7827
822	0.822	0.7841
823	0.823	0.7856
824	0.824	0.7871
825	0.825	0.7886
826	0.826	0.79
827	0.827	0.7915
828	0.828	0.7929
829	0.829	0.7944
830	0.83	0.7959
831	0.831	0.7973
832	0.832	0.7987
833	0.833	0.8002
834	0.834	0.8016
835	0.835	0.8031
836	0.836	0.8045
837	0.837	0.8059
838	0.838	0.8073
839	0.839	0.8088
840	0.84	0.8102
841	0.841	0.8116
842	0.842	0.813
843	0.843	0.8144
844	0.844	0.8158
845	0.845	0.8172
846	0.846	0.8186
847	0.847	0.82
848	0.848	0.8214
849	0.849	0.8228
850	0.85	0.8242
851	0.851	0.8256
852	0.852	0.8269
853	0.853	0.8283
854	0.854	0.8297
855	0.855	0.831
856	0.856	0.8324
857	0.857	0.8338
858	0.858	0.8351
859	0.859	0.8365
860	0.86	0.8378
861	0.861	0.8392
862	0.862	0.8405
863	0.863	0.8419
864	0.864	0.8432
865	0.865	0.8445
866	0.866	0.8459
867	0.867	0.8472
868	0.868	0.8485
869	0.869	0.8499
870	0.87	0.8512
871	0.871	0.8525
872	0.872	0.8538
873	0.873	0.8551
874	0.874	0.8564
875	0.875	0.8577
876	0.876	0.859
877	0.877	0.8603
878	0.878	0.8616
879	0.879	0.8629
880	0.88	0.8642
881	0.881	0.8655
882	0.882	0.8668
883	0.883	0.8681
884	0.884	0.8694
885	0.885	0.8706
886	0.886	0.8719
887	0.887	0.8732
888	0.888	0.8745
889	0.889	0.8757
890	0.89	0.877
891	0.891	0.8782
892	0.892	0.8795
893	0.893	0.8808
894	0.894	0.882
895	0.895	0.8833
896	0.896	0.8845
897	0.897	0.8857
898	0.898	0.887
899	0.899	0.8882
900	0.9	0.8895
901	0.901	0.8907
902	0.902	0.8919
903	0.903	0.8931
904	0.904	0.8944
905	0.905	0.8956
906	0.906	0.8968
907	0.907	0.898
908	0.908	0.8992
909	0.909	0.9004
910	0.91	0.9017
911	0.911	0.9029
912	0.912	0.9041
913	0.913	0.9053
914	0.914	0.9065
915	0.915	0.9077
916	0.916	0.9088
917	0.917	0.91
918	0.918	0.9112
919	0.919	0.9124
920	0.92	0.9136
921	0.921	0.9148
922	0.922	0.9159
923	0.923	0.9171
924	0.924	0.9183
925	0.925	0.9195
926	0.926	0.9206
927	0.927	0.9218
928	0.928	0.9229
929	0.929	0.9241
930	0.93	0.9253
931	0.931	0.9264
932	0.932	0.9276
933	0.933	0.9287
934	0.934	0.9299
935	0.935	0.931
936	0.936	0.9321
937	0.937	0.9333
938	0.938	0.9344
939	0.939	0.9356
940	0.94	0.9367
941	0.941	0.9378
942	0.942	0.9389
943	0.943	0.9401
944	0.944	0.9412
945	0.945	0.9423
946	0.946	0.9434
947	0.947	0.9445
948	0.948	0.9457
949	0.949	0.9468
950	0.95	0.9479
951	0.951	0.949
952	0.952	0.9501
953	0.953	0.9512
954	0.954	0.9523
955	0.955	0.9534
956	0.956	0.9545
957	0.957	0.9556
958	0.958	0.9567
959	0.959	0.9577
960	0.96	0.9588
961	0.961	0.9599
962	0.962	0.961
963	0.963	0.9621
964	0.964	0.9631
965	0.965	0.9642
966	0.966	0.9653
967	0.967	0.9664
968	0.968	0.9674
969	0.969	0.9685
970	0.97	0.9696
971	0.971	0.9706
972	0.972	0.9717
973	0.973	0.9727
974	0.974	0.9738
975	0.975	0.9748
976	0.976	0.9759
977	0.977	0.9769
978	0.978	0.978
979	0.979	0.979
980	0.98	0.9801
981	0.981	0.9811
982	0.982	0.9821
983	0.983	0.9832
984	0.984	0.9842
985	0.985	0.9852
986	0.986	0.9863
987	0.987	0.9873
988	0.988	0.9883
989	0.989	0.9893
990	0.99	0.9904
991	0.991	0.9914
992	0.992	0.9924
993	0.993	0.9934
994	0.994	0.9944
995	0.995	0.9954
996	0.996	0.9964
997	0.997	0.9974
998	0.998	0.9984
999	0.999	0.9994
1000	1	1
