ModelId	Desc	CombatStdSpeed	ForwardStdSpeed	SlowStdSpeed	FastStdSpeed	Sleep	ActionPrefix	Stand_0	Idle_Stand	Idle_0	Idle_1	Idle_2	SlowMove	FastMove	RunForward_0	CombatStand	CombatRun	Hurt_0	Hurt_1	Hurt_2	Taunt	Dead_0	Dead_1	Dead_2	PostDead_0	PostDead_1	PostDead_2	Born	GetUp_0	GetUp_1	FlyUp	FlyDown	FlyHurt	FlyDownGround	OnGround	Grab	Celebrate_0	Depressed_0	SkillSection01	SkillSection02	SkillSection03	SkillSection04	SkillSection05	SkillSection06	SkillSection07	SkillSection08	SkillSection09	SkillSection10	SkillSection11	SkillSection12	SkillSection13	SkillSection14	SkillSection15	SkillSection16	SkillSection17	SkillSection18	SkillSection19	SkillSection20
1033	王国军火枪兵	6.375	3.5	1.12	3.45			Stand	Idle_Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1034	王国军霰弹枪兵	6.375	3.5	1.12	3.45			Stand	Idle_Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1043	银盾军激光枪兵	6.375	3.5	1.12	2.5			Stand	Idle_Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1044	休闲枪兵	6.375	3.5	1.12	2.5			Idle_Stand	Idle_Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1051	钻地鼠人	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1052	瘟疫鼠人	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1053	小鼠人	6.375	3.5	1.12	4			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1061	壮汉大锤	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1062	壮汉加农炮	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1071	独眼大锤	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
1072	独眼巨石	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2011	僵尸男赤	6.375	3.5	0.5	2			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2012	僵尸男青	6.375	3.5	0.5	2			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2013	僵尸女	6.375	3.5	0.5	2			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2021	骷髅剑盾	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2022	骷髅骨棒	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2023	骷髅斧头	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2031	矿工锄头	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2032	矿工水晶	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2041	死灵法师	6.375	3.5	1.12	4			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2042	死灵巫师	6.375	3.5	1.12	4			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
2051	尸腐兽	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
3011	托赖辟玛剑盾	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
3012	托赖辟玛长矛	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Ridicule	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
3013	托赖辟玛弩箭	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
3021	圣卫军剑盾	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUP	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
3022	圣卫军长矛	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
3023	圣卫军弩箭	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
5011	魔化狂战士	6.375	3.5	1.5	4			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
5012	席列	6.375	3.5	1.5	4			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
5013	忽仑	6.375	3.5	1.5	4			Stand	Stand	Idle_01	Idle_01		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Roar	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
5014	伊娜	8.5	7				YiNa_	Stand	Stand	Stand	Stand	Stand	Run	Run	Run	Stand	Run	Hurt	Hurt	Hurt		Dead						Stand	GetUp		AirUp	AirDown	AirHurt	AirGround	AirGround	AirHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
5015	涅德泛	6.375	3.5	1.5	4			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
5016	朱罗夫	6.375	3.5	1.12	3.45			Stand	Stand	Idle_01	Idle_02		Walk	Run	Run			Hurt_M	Hurt_R	Hurt_L	Ridicule	Dead						Stand	GetUp		FlyUp	FlyDown	FlyHurt	FlyDownG	Ground	FlyHurt			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
#物理破坏物																																																										
100001	木栅栏	6.375	3.5	1.5	4			Stand	Stand	Stand	Stand		Stand	Stand	Stand			Hurt	Hurt	Hurt	Stand	Dead						Stand	Stand		Stand	Stand	Stand	Stand	Stand	Stand			Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand	Stand								
#主线剧情																																																										
101281	忽伦（监狱）	6.375	3.5	1.5	4																																		Cut_01	Cut_02	Cut_03																	
101282	门（监狱）	6.375	3.5	1.5	4																																		Cut_01																			
