Id	LinkId	FightingScore	MonsterType	AttributeId
21	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1026	0	21|21|21|21|21|21|21|21|21|21|1021|1021|1021|1021|1021|1021|1021|1021|1021|1021|2021|2021|2021|2021|2021|2021|2021|2021|2021|2021
22	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1065	0	22|22|22|22|22|22|22|22|22|22|1022|1022|1022|1022|1022|1022|1022|1022|1022|1022|2022|2022|2022|2022|2022|2022|2022|2022|2022|2022
23	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1103	0	23|23|23|23|23|23|23|23|23|23|1023|1023|1023|1023|1023|1023|1023|1023|1023|1023|2023|2023|2023|2023|2023|2023|2023|2023|2023|2023
24	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1134	0	24|24|24|24|24|24|24|24|24|24|1024|1024|1024|1024|1024|1024|1024|1024|1024|1024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
25	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1177	0	25|25|25|25|25|25|25|25|25|25|1025|1025|1025|1025|1025|1025|1025|1025|1025|1025|2025|2025|2025|2025|2025|2025|2025|2025|2025|2025
26	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1204	0	26|26|26|26|26|26|26|26|26|26|1026|1026|1026|1026|1026|1026|1026|1026|1026|1026|2026|2026|2026|2026|2026|2026|2026|2026|2026|2026
27	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1240	0	27|27|27|27|27|27|27|27|27|27|1027|1027|1027|1027|1027|1027|1027|1027|1027|1027|2027|2027|2027|2027|2027|2027|2027|2027|2027|2027
28	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1283	0	28|28|28|28|28|28|28|28|28|28|1028|1028|1028|1028|1028|1028|1028|1028|1028|1028|2028|2028|2028|2028|2028|2028|2028|2028|2028|2028
29	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1326	0	29|29|29|29|29|29|29|29|29|29|1029|1029|1029|1029|1029|1029|1029|1029|1029|1029|2029|2029|2029|2029|2029|2029|2029|2029|2029|2029
30	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1369	0	30|30|30|30|30|30|30|30|30|30|1030|1030|1030|1030|1030|1030|1030|1030|1030|1030|2030|2030|2030|2030|2030|2030|2030|2030|2030|2030
31	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1412	0	31|31|31|31|31|31|31|31|31|31|1031|1031|1031|1031|1031|1031|1031|1031|1031|1031|2031|2031|2031|2031|2031|2031|2031|2031|2031|2031
32	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1455	0	32|32|32|32|32|32|32|32|32|32|1032|1032|1032|1032|1032|1032|1032|1032|1032|1032|2032|2032|2032|2032|2032|2032|2032|2032|2032|2032
33	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1498	0	33|33|33|33|33|33|33|33|33|33|1033|1033|1033|1033|1033|1033|1033|1033|1033|1033|2033|2033|2033|2033|2033|2033|2033|2033|2033|2033
34	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1541	0	34|34|34|34|34|34|34|34|34|34|1034|1034|1034|1034|1034|1034|1034|1034|1034|1034|2034|2034|2034|2034|2034|2034|2034|2034|2034|2034
35	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1607	0	35|35|35|35|35|35|35|35|35|35|1035|1035|1035|1035|1035|1035|1035|1035|1035|1035|2035|2035|2035|2035|2035|2035|2035|2035|2035|2035
36	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1645	0	36|36|36|36|36|36|36|36|36|36|1036|1036|1036|1036|1036|1036|1036|1036|1036|1036|2036|2036|2036|2036|2036|2036|2036|2036|2036|2036
37	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1683	0	37|37|37|37|37|37|37|37|37|37|1037|1037|1037|1037|1037|1037|1037|1037|1037|1037|2037|2037|2037|2037|2037|2037|2037|2037|2037|2037
38	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1722	0	38|38|38|38|38|38|38|38|38|38|1038|1038|1038|1038|1038|1038|1038|1038|1038|1038|2038|2038|2038|2038|2038|2038|2038|2038|2038|2038
39	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1760	0	39|39|39|39|39|39|39|39|39|39|1039|1039|1039|1039|1039|1039|1039|1039|1039|1039|2039|2039|2039|2039|2039|2039|2039|2039|2039|2039
40	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1814	0	40|40|40|40|40|40|40|40|40|40|1040|1040|1040|1040|1040|1040|1040|1040|1040|1040|2040|2040|2040|2040|2040|2040|2040|2040|2040|2040
41	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1865	0	41|41|41|41|41|41|41|41|41|41|1041|1041|1041|1041|1041|1041|1041|1041|1041|1041|2041|2041|2041|2041|2041|2041|2041|2041|2041|2041
42	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1915	0	42|42|42|42|42|42|42|42|42|42|1042|1042|1042|1042|1042|1042|1042|1042|1042|1042|2042|2042|2042|2042|2042|2042|2042|2042|2042|2042
43	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	1966	0	43|43|43|43|43|43|43|43|43|43|1043|1043|1043|1043|1043|1043|1043|1043|1043|1043|2043|2043|2043|2043|2043|2043|2043|2043|2043|2043
44	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2017	0	44|44|44|44|44|44|44|44|44|44|1044|1044|1044|1044|1044|1044|1044|1044|1044|1044|2044|2044|2044|2044|2044|2044|2044|2044|2044|2044
45	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2067	0	45|45|45|45|45|45|45|45|45|45|1045|1045|1045|1045|1045|1045|1045|1045|1045|1045|2045|2045|2045|2045|2045|2045|2045|2045|2045|2045
46	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2110	0	46|46|46|46|46|46|46|46|46|46|1046|1046|1046|1046|1046|1046|1046|1046|1046|1046|2046|2046|2046|2046|2046|2046|2046|2046|2046|2046
47	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2138	0	47|47|47|47|47|47|47|47|47|47|1047|1047|1047|1047|1047|1047|1047|1047|1047|1047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047
48	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2189	0	48|48|48|48|48|48|48|48|48|48|1048|1048|1048|1048|1048|1048|1048|1048|1048|1048|2048|2048|2048|2048|2048|2048|2048|2048|2048|2048
49	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2239	0	49|49|49|49|49|49|49|49|49|49|1049|1049|1049|1049|1049|1049|1049|1049|1049|1049|2049|2049|2049|2049|2049|2049|2049|2049|2049|2049
50	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2290	0	50|50|50|50|50|50|50|50|50|50|1050|1050|1050|1050|1050|1050|1050|1050|1050|1050|2050|2050|2050|2050|2050|2050|2050|2050|2050|2050
51	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2341	0	51|51|51|51|51|51|51|51|51|51|1051|1051|1051|1051|1051|1051|1051|1051|1051|1051|2051|2051|2051|2051|2051|2051|2051|2051|2051|2051
52	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2387	0	52|52|52|52|52|52|52|52|52|52|1052|1052|1052|1052|1052|1052|1052|1052|1052|1052|2052|2052|2052|2052|2052|2052|2052|2052|2052|2052
53	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2433	0	53|53|53|53|53|53|53|53|53|53|1053|1053|1053|1053|1053|1053|1053|1053|1053|1053|2053|2053|2053|2053|2053|2053|2053|2053|2053|2053
54	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2479	0	54|54|54|54|54|54|54|54|54|54|1054|1054|1054|1054|1054|1054|1054|1054|1054|1054|2054|2054|2054|2054|2054|2054|2054|2054|2054|2054
55	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2525	0	55|55|55|55|55|55|55|55|55|55|1055|1055|1055|1055|1055|1055|1055|1055|1055|1055|2055|2055|2055|2055|2055|2055|2055|2055|2055|2055
56	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2571	0	56|56|56|56|56|56|56|56|56|56|1056|1056|1056|1056|1056|1056|1056|1056|1056|1056|2056|2056|2056|2056|2056|2056|2056|2056|2056|2056
57	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2617	0	57|57|57|57|57|57|57|57|57|57|1057|1057|1057|1057|1057|1057|1057|1057|1057|1057|2057|2057|2057|2057|2057|2057|2057|2057|2057|2057
58	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2663	0	58|58|58|58|58|58|58|58|58|58|1058|1058|1058|1058|1058|1058|1058|1058|1058|1058|2058|2058|2058|2058|2058|2058|2058|2058|2058|2058
59	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2699	0	59|59|59|59|59|59|59|59|59|59|1059|1059|1059|1059|1059|1059|1059|1059|1059|1059|2059|2059|2059|2059|2059|2059|2059|2059|2059|2059
60	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2726	0	60|60|60|60|60|60|60|60|60|60|1060|1060|1060|1060|1060|1060|1060|1060|1060|1060|2060|2060|2060|2060|2060|2060|2060|2060|2060|2060
61	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2784	0	61|61|61|61|61|61|61|61|61|61|1061|1061|1061|1061|1061|1061|1061|1061|1061|1061|2061|2061|2061|2061|2061|2061|2061|2061|2061|2061
62	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2843	0	62|62|62|62|62|62|62|62|62|62|1062|1062|1062|1062|1062|1062|1062|1062|1062|1062|2062|2062|2062|2062|2062|2062|2062|2062|2062|2062
63	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2901	0	63|63|63|63|63|63|63|63|63|63|1063|1063|1063|1063|1063|1063|1063|1063|1063|1063|2063|2063|2063|2063|2063|2063|2063|2063|2063|2063
64	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	2960	0	64|64|64|64|64|64|64|64|64|64|1064|1064|1064|1064|1064|1064|1064|1064|1064|1064|2064|2064|2064|2064|2064|2064|2064|2064|2064|2064
65	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3018	0	65|65|65|65|65|65|65|65|65|65|1065|1065|1065|1065|1065|1065|1065|1065|1065|1065|2065|2065|2065|2065|2065|2065|2065|2065|2065|2065
66	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3076	0	66|66|66|66|66|66|66|66|66|66|1066|1066|1066|1066|1066|1066|1066|1066|1066|1066|2066|2066|2066|2066|2066|2066|2066|2066|2066|2066
67	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3135	0	67|67|67|67|67|67|67|67|67|67|1067|1067|1067|1067|1067|1067|1067|1067|1067|1067|2067|2067|2067|2067|2067|2067|2067|2067|2067|2067
68	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3193	0	68|68|68|68|68|68|68|68|68|68|1068|1068|1068|1068|1068|1068|1068|1068|1068|1068|2068|2068|2068|2068|2068|2068|2068|2068|2068|2068
69	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3259	0	69|69|69|69|69|69|69|69|69|69|1069|1069|1069|1069|1069|1069|1069|1069|1069|1069|2069|2069|2069|2069|2069|2069|2069|2069|2069|2069
70	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3313	0	70|70|70|70|70|70|70|70|70|70|1070|1070|1070|1070|1070|1070|1070|1070|1070|1070|2070|2070|2070|2070|2070|2070|2070|2070|2070|2070
71	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3367	0	71|71|71|71|71|71|71|71|71|71|1071|1071|1071|1071|1071|1071|1071|1071|1071|1071|2071|2071|2071|2071|2071|2071|2071|2071|2071|2071
72	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3420	0	72|72|72|72|72|72|72|72|72|72|1072|1072|1072|1072|1072|1072|1072|1072|1072|1072|2072|2072|2072|2072|2072|2072|2072|2072|2072|2072
73	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3474	0	73|73|73|73|73|73|73|73|73|73|1073|1073|1073|1073|1073|1073|1073|1073|1073|1073|2073|2073|2073|2073|2073|2073|2073|2073|2073|2073
74	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3528	0	74|74|74|74|74|74|74|74|74|74|1074|1074|1074|1074|1074|1074|1074|1074|1074|1074|2074|2074|2074|2074|2074|2074|2074|2074|2074|2074
75	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3582	0	75|75|75|75|75|75|75|75|75|75|1075|1075|1075|1075|1075|1075|1075|1075|1075|1075|2075|2075|2075|2075|2075|2075|2075|2075|2075|2075
76	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3635	0	76|76|76|76|76|76|76|76|76|76|1076|1076|1076|1076|1076|1076|1076|1076|1076|1076|2076|2076|2076|2076|2076|2076|2076|2076|2076|2076
77	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3701	0	77|77|77|77|77|77|77|77|77|77|1077|1077|1077|1077|1077|1077|1077|1077|1077|1077|2077|2077|2077|2077|2077|2077|2077|2077|2077|2077
78	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	3741	0	78|78|78|78|78|78|78|78|78|78|1078|1078|1078|1078|1078|1078|1078|1078|1078|1078|2078|2078|2078|2078|2078|2078|2078|2078|2078|2078
